"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ADAM28",1.55235452097149,3.1311269276358,10.3926324203027,2.74031212524995e-23,2.91249631491824e-22,41.7315107969478
"FAT4",-1.25304395638229,1.9265883445179,-10.3885631589495,2.84042702096321e-23,3.015615034831e-22,41.6959717847542
"CNR1",-1.43963650134189,1.6767743008431,-10.3872553487817,2.87336734130755e-23,3.04892727189995e-22,41.684552000396
"ATAD3B",1.16879229010115,3.33350813634716,10.3849997558905,2.9310732905972e-23,3.10846777523204e-22,41.6648584897086
"CADM1",-1.84484078797735,4.56609601920954,-10.3832984157194,2.97535935537846e-23,3.15371921238837e-22,41.6500060707785
"PODXL2",2.439071855359,5.27686478633071,10.3774393891365,3.13301456089806e-23,3.31721948866421e-22,41.598870430414
"LNX2",-1.02384176372487,4.65855048624582,-10.3735749967497,3.24150847447904e-23,3.43023004762695e-22,41.5651540685623
"EMP1",-1.51591785613043,5.66323331163832,-10.3732732746399,3.25013472217867e-23,3.43749335610903e-22,41.5625219397218
"WDHD1",1.2325672906933,2.83897581145383,10.3644455794586,3.51285944980421e-23,3.71334947693938e-22,41.4855350267632
"ZCCHC24",-1.03914528065831,4.22228292988805,-10.3605055819806,3.63682310846302e-23,3.84022528881182e-22,41.451188489432
"FUT3",1.76631042310885,4.33839472270325,10.3554762058684,3.80138977508889e-23,4.00748674505722e-22,41.407358359903
"PARD6B",-1.11783420171262,3.68717346747587,-10.3550082938266,3.81707114935627e-23,4.02184433419208e-22,41.4032813277655
"PXDC1",-1.17533256365225,5.43934810122778,-10.3524634173382,3.90349002647761e-23,4.10846011799205e-22,41.3811093998546
